w,h,c,n,k,f_w,f_h,pad_w,pad_h,stride_w,stride_h,precision,fwd_time(usec),fwd_algo,pad_kernels
16,16,128,1,8,2,2,1,1,1,1,float,24,IMPLICIT_GEMM,0.0
16,16,128,1,16,2,2,1,1,1,1,float,24,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,1,32,2,2,1,1,1,1,float,24,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,1,64,2,2,1,1,1,1,float,24,IMPLICIT_GEMM,0.0
16,16,128,2,1,2,2,1,1,1,1,float,19,FFT,0.0
16,16,128,2,2,2,2,1,1,1,1,float,59,IMPLICIT_GEMM,0.0
16,16,128,2,4,2,2,1,1,1,1,float,60,IMPLICIT_GEMM,0.0
16,16,128,2,8,2,2,1,1,1,1,float,60,IMPLICIT_GEMM,0.0
16,16,128,2,16,2,2,1,1,1,1,float,60,IMPLICIT_GEMM,0.0
16,16,128,2,32,2,2,1,1,1,1,float,24,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,2,64,2,2,1,1,1,1,float,25,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,4,1,2,2,1,1,1,1,float,20,FFT,0.0
16,16,128,4,2,2,2,1,1,1,1,float,59,IMPLICIT_GEMM,0.0
16,16,128,4,4,2,2,1,1,1,1,float,31,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,4,8,2,2,1,1,1,1,float,31,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,4,16,2,2,1,1,1,1,float,32,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,4,32,2,2,1,1,1,1,float,25,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,4,64,2,2,1,1,1,1,float,37,IMPLICIT_GEMM,0.0
16,16,128,8,1,2,2,1,1,1,1,float,36,IMPLICIT_GEMM,0.0
16,16,128,8,2,2,2,1,1,1,1,float,36,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,8,4,2,2,1,1,1,1,float,36,IMPLICIT_GEMM,0.0
16,16,128,8,8,2,2,1,1,1,1,float,37,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,8,16,2,2,1,1,1,1,float,37,IMPLICIT_GEMM,0.0
16,16,128,8,32,2,2,1,1,1,1,float,35,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,8,64,2,2,1,1,1,1,float,49,IMPLICIT_GEMM,0.0
16,16,128,16,1,2,2,1,1,1,1,float,79,FFT,0.0
16,16,128,16,2,2,2,1,1,1,1,float,43,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,16,4,2,2,1,1,1,1,float,43,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,16,8,2,2,1,1,1,1,float,44,IMPLICIT_GEMM,0.0
16,16,128,16,16,2,2,1,1,1,1,float,46,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,16,32,2,2,1,1,1,1,float,52,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,16,64,2,2,1,1,1,1,float,54,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,1,1,2,2,1,1,1,1,float,45,IMPLICIT_GEMM,0.0
16,16,256,1,2,2,2,1,1,1,1,float,24,FFT,0.0
16,16,256,1,4,2,2,1,1,1,1,float,45,IMPLICIT_GEMM,0.0
16,16,256,1,8,2,2,1,1,1,1,float,46,IMPLICIT_GEMM,0.0
16,16,256,1,16,2,2,1,1,1,1,float,46,IMPLICIT_GEMM,0.0
